用いる 	 を
する 	 て を
指す 	 を
代わる 	 に を
行う 	 て に
せる 	 て に
する 	 と も
れる 	 と も
述べる 	 て で に の は
いる 	 て で に の は
する 	 で を
する 	 を
する 	 を
する 	 て を
する 	 て を
ある 	 が は
する 	 で に により
れる 	 で に により
用いる 	 を
する 	 と を
使う 	 て で でも は
れる 	 て で でも は
いる 	 て で でも は
呼ぶ 	 も
れる 	 も
ある 	 も
する 	 を
出す 	 が に
れる 	 が に
する 	 に を
せる 	 に を
呼ぶ 	 と
れる 	 と
持つ 	 が に
なる 	 が と
する 	 が が て は
れる 	 が が て は
いる 	 が が て は
知る 	 として は も
れる 	 として は も
いる 	 として は も
ある 	 が て に は
集める 	 が を
行う 	 に を を
ある 	 も
する 	 に を
する 	 において
超える 	 を
する 	 て に
行く 	 て により
する 	 にかけて を
破る 	 も
する 	 が として に
なる 	 で と など は
呼ぶ 	 と は
れる 	 と は
ある 	 が
繰り返す 	 を
する 	 と を
いる 	 と を
基づく 	 に
する 	 て と
いる 	 て と
ある 	 が として は
する 	 を
作る 	 を
なす 	 て も
れる 	 て も
いる 	 て も
する 	 で に は を を を通して
上回る 	 で を
出す 	 を
おる 	 を
行う 	 が て て で に は
れる 	 が て て で に は
いる 	 が て て で に は
でる 	 が
する 	 て て で で は
いる 	 て て で で は
だす 	 が で を
いる 	 が で を
加える 	 に
見せる 	 て て において は を
いる 	 て て において は を
広がる 	 が に
おる 	 が に
行う 	 を
いく 	 を
始まる 	 て も
いる 	 て も
する 	 て て と は
いる 	 て て と は
試みる 	 
られる 	 
くる 	 
いる 	 
なる 	 が が て て て と
くる 	 が が て て て と
する 	 が と
する 	 は を
行う 	 は を
する 	 を
もたらす 	 に は を
する 	 に
題する 	 と
する 	 に は を
築く 	 を
なる 	 に
出る 	 が と に関して
始める 	 が と に関して
作り出す 	 で は を
する 	 は を
ふるまう 	 
する 	 を
する 	 として は を
する 	 は を
行う 	 を
行う 	 に
れる 	 に
する 	 として において
れる 	 として において
する 	 として
れる 	 として
示す 	 で に は を
する 	 を
示す 	 て は を
する 	 は を
する 	 を
示す 	 は を
呼ぶ 	 と
れる 	 と
ある 	 は も
する 	 に を
する 	 を
使う 	 に に によって は
れる 	 に に によって は
なる 	 に に によって は
する 	 が に に は を
上げる 	 が で は を
する 	 に
する 	 に は を
打つ 	 に を
負かす 	 に を
敗れる 	 が で に に は は
する 	 において を
使う 	 のに を
省く 	 によって
れる 	 によって
上回る 	 が を
する 	 に は を
する 	 が に
する 	 で は も
する 	 が が
れる 	 が が
する 	 が に は
れる 	 が に は
適す 	 に
する 	 から に対して を
行う 	 を
せる 	 を
する 	 が が
れる 	 が が
行う 	 に により を
せる 	 に により を
する 	 が に
れる 	 が に
する 	 に を
行う 	 て に を
せる 	 て に を
する 	 に を
する 	 を
含む 	 に は も
れる 	 に は も
いる 	 に は も
する 	 
分かる 	 から が
する 	 が に
いる 	 が に
見合う 	 に
見出せる 	 が
する 	 から が て て にとって は は も
いる 	 から が て て にとって は は も
する 	 が に において は
進む 	 が
する 	 に につれて
する 	 を
せる 	 を
至る 	 に
する 	 は
入る 	 に
基づく 	 に
する 	 が
れる 	 が
なる 	 が
する 	 と を
立ち上がる 	 て と に に も
生まれる 	 から
挙げる 	 が として
られる 	 が として
費やす 	 として を
進める 	 て を
する 	 
異なる 	 が で
する 	 
行える 	 が
ある 	 に は も
至る 	 に は は まで も
する 	 
する 	 で を
する 	 て に
見つかる 	 が が で
用いる 	 から として にかけて
られる 	 から として にかけて
くる 	 から として にかけて
する 	 を
する 	 が に
れる 	 が に
用いる 	 を
する 	 を
する 	 て
する 	 を
迎える 	 が に を
合わせる 	 に
増やす 	 て で に も を
する 	 に を
する 	 が
れる 	 が
始める 	 が
する 	 が に まで を
いる 	 が に まで を
なる 	 から で と
いる 	 から で と
分かる 	 が て について は
いる 	 が て について は
