用いる 	 を 道具を
する 	 て を 用いて 『知能』を
指す 	 を 一分野」を
代わる 	 に を 知的行動を 人間に
行う 	 て に 代わって コンピューターに
せる 	 て に 代わって コンピューターに
する 	 と も 研究分野」とも 研究分野」とも
れる 	 と も 研究分野」とも 研究分野」とも
述べる 	 て で に の は 解説で、 佐藤理史は 次のように 次のように 述べている。
いる 	 て で に の は 解説で、 佐藤理史は 次のように 次のように 述べている。
する 	 で を 知的能力を コンピュータ上で
する 	 を 推論・判断を
する 	 を 画像データを
する 	 て を 解析して パターンを
する 	 て を 解析して パターンを
ある 	 が は 応用例は 画像認識等が
する 	 で に により 1956年に ダートマス会議で ジョン・マッカーシーにより
れる 	 で に により 1956年に ダートマス会議で ジョン・マッカーシーにより
用いる 	 を 記号処理を
する 	 と を 記述を 主体と
使う 	 て で でも は 現在では、 現在では、 意味あいでも 使われている。
れる 	 て で でも は 現在では、 現在では、 意味あいでも 使われている。
いる 	 て で でも は 現在では、 現在では、 意味あいでも 使われている。
呼ぶ 	 も 思考ルーチンも
れる 	 も 思考ルーチンも
ある 	 も ことも
する 	 を カウンセラーを
出す 	 が に （人工無脳）が 引き合いに
れる 	 が に （人工無脳）が 引き合いに
する 	 に を 計算機に 役割を
せる 	 に を 計算機に 役割を
呼ぶ 	 と 「エキスパートシステム」と
れる 	 と 「エキスパートシステム」と
持つ 	 が に 人間が 暗黙に
なる 	 が と 記述が 問題と
する 	 が が て は 出されるが、 実現は、 利用が 困難視されている。
れる 	 が が て は 出されるが、 実現は、 利用が 困難視されている。
いる 	 が が て は 出されるが、 実現は、 利用が 困難視されている。
知る 	 として は も アプローチとしては、 アプローチとしては、 アプローチも
れる 	 として は も アプローチとしては、 アプローチとしては、 アプローチも
いる 	 として は も アプローチとしては、 アプローチとしては、 アプローチも
ある 	 が て に は 知られているが、 知られているが、 差は 記号的明示性に
集める 	 が を 「サポートベクターマシン」が 注目を
行う 	 に を を 経験を 元に 学習を
ある 	 も 手法も
する 	 に を 知性を 機械的に
する 	 において 宇宙において、
超える 	 を 流行を
する 	 て に 超えて 社会に
行く 	 て により 登場により、 浸透して
する 	 にかけて を 2017年にかけて、 ディープラーニングを
破る 	 も プレイヤーも
する 	 が として に 「MicrosoftSuphx(SuperPhoenix)」が AIとして 十段に
なる 	 で と など は 麻雀では 麻雀では 到達するなど、 最先端技術と
呼ぶ 	 と は 人工知能は 機械学習と
れる 	 と は 人工知能は 機械学習と
ある 	 が ものが
繰り返す 	 を 学習を
する 	 と を ことを 基本と
いる 	 と を ことを 基本と
基づく 	 に 経験に
する 	 て と ソフトコンピューティングと 関係している。
いる 	 て と ソフトコンピューティングと 関係している。
ある 	 が として は 手法としては、 手法としては、 ものが
する 	 を これらを
作る 	 を 知的システムを
なす 	 て も 試みも なされている。
れる 	 て も 試みも なされている。
いる 	 て も 試みも なされている。
する 	 で に は を を を通して ACT-Rでは、 ACT-Rでは、 推論ルールを、 統計的学習を 元に 生成規則を通して
上回る 	 で を 領域で 人工知能を
出す 	 を 精度を
おる 	 を 精度を
行う 	 が て て で に は 第3次人工知能ブームでは、 第3次人工知能ブームでは、 出しており、 研究が 盛んに 行われている。
れる 	 が て て で に は 第3次人工知能ブームでは、 第3次人工知能ブームでは、 出しており、 研究が 盛んに 行われている。
いる 	 が て て で に は 第3次人工知能ブームでは、 第3次人工知能ブームでは、 出しており、 研究が 盛んに 行われている。
でる 	 が 派生が
する 	 て て で で は 最近では、 最近では、 でて 各分野で 活躍している。
いる 	 て て で で は 最近では、 最近では、 でて 各分野で 活躍している。
だす 	 が で を ディープラーニングが 分野で 成果を
いる 	 が で を ディープラーニングが 分野で 成果を
加える 	 に ことに
見せる 	 て て において は を （敵対的生成ネットワーク）は、 加えて、 生成技術において 進化を 見せている。
いる 	 て て において は を （敵対的生成ネットワーク）は、 加えて、 生成技術において 進化を 見せている。
広がる 	 が に 背景に、 応用分野が
おる 	 が に 背景に、 応用分野が
行う 	 を コンテンツ生成を
いく 	 を コンテンツ生成を
始まる 	 て も 広がっており、 応用も
いる 	 て も 広がっており、 応用も
する 	 て て と は 森正弥は 始まっていると 始まっていると 指摘している。
いる 	 て て と は 森正弥は 始まっていると 始まっていると 指摘している。
試みる 	  
られる 	  
くる 	  
いる 	  
なる 	 が が て て て と 試みられてきているが、 試みられてきているが、 試みられてきているが、 解決が 壁と なってきた。
くる 	 が が て て て と 試みられてきているが、 試みられてきているが、 試みられてきているが、 解決が 壁と なってきた。
する 	 が と 身体が 機械であると
する 	 は を ブレーズ・パスカルは 機械式計算機を
行う 	 は を エイダ・ラブレスは 開発を
する 	 を 『数学原理』を
もたらす 	 に は を アルフレッド・ノース・ホワイトヘッドは 形式論理に 革命を
する 	 に 「神経活動に
題する 	 と 論理計算」と
する 	 に は を ウォルター・ピッツは 論文を 1943年に
築く 	 を 基礎を
なる 	 に 1950年代に
出る 	 が と に関して なると AIに関して 成果が
始める 	 が と に関して なると AIに関して 成果が
作り出す 	 で は を ジョン・マッカーシーは 会議で 用語を
する 	 は を 彼はまた プログラミング言語を
ふるまう 	  
する 	 を テストを
する 	 として は を 方法として、 アラン・チューリングは 「チューリングテスト」を
する 	 は を ジョセフ・ワイゼンバウムはを ジョセフ・ワイゼンバウムはを
行う 	 を 来談者中心療法を
行う 	 に 1956年に
れる 	 に 1956年に
する 	 として において 提案書において、 用語として
れる 	 として において 提案書において、 用語として
する 	 として 分野として
れる 	 として 分野として
示す 	 で に は を 間に、 ジョエル・モーゼスは プログラム中で パワーを
する 	 を 『パーセプトロン』を
示す 	 て は を シーモア・パパートは 出版して 限界を
する 	 は を アラン・カルメラウアーは プログラミング言語を
する 	 を ルールベースシステムを
示す 	 は を テッド・ショートリッフェは パワーを
呼ぶ 	 と エキスパートシステムと
れる 	 と エキスパートシステムと
ある 	 は も これは、 ことも
する 	 に を コースを 自律的に
する 	 を 乗り物を
使う 	 に に によって は 1980年代に、 ニューラルネットワークは バックプロパゲーションアルゴリズムによって 使われるようになった。
れる 	 に に によって は 1980年代に、 ニューラルネットワークは バックプロパゲーションアルゴリズムによって 使われるようになった。
なる 	 に に によって は 1980年代に、 ニューラルネットワークは バックプロパゲーションアルゴリズムによって 使われるようになった。
する 	 が に に は を 時代に ロドニー・ブルックスが、 知能には 知能には （身体性）を
上げる 	 が で は を 1990年代は 分野で アプリケーションが 成果を
する 	 に 世界チャンピオンに
する 	 に は を 1992年に IBMは バックギャモン専用コンピュータ・TDギャモンを
打つ 	 に を 5月に ガルリ・カスパロフを
負かす 	 に を 5月に ガルリ・カスパロフを
敗れる 	 が で に に は は チェス専用コンピュータ・ディープ・ブルーは、 8月には 8月には オセロで オセロ専用コンピュータ・ロジステロに 村上健が
する 	 において を 湾岸戦争において ユニットを
使う 	 のに を スケジューリングするのに AIを
省く 	 によって これによって
れる 	 によって これによって
上回る 	 が を コストが 投資全額を
する 	 に は を 国防高等研究計画局は、 ことを 明らかにした。
する 	 が に 甘利俊一（日本学士院会員）らが 精力的に
する 	 で は も 日本では 日本では 成果も
する 	 が が 発生したが、 ブラックボックス性が
れる 	 が が 発生したが、 ブラックボックス性が
する 	 が に は 1998年には 1998年には XMLが
れる 	 が に は 1998年には 1998年には XMLが
適す 	 に アプリケーション別に
する 	 から に対して を ここから 非構造化データに対して、 意味付けを
行う 	 を 処理を
せる 	 を 処理を
する 	 が が 提唱されたが、 試みが
れる 	 が が 提唱されたが、 試みが
行う 	 に により を ティム・バーナーズ＝リーにより、 Webに 知的処理を
せる 	 に により を ティム・バーナーズ＝リーにより、 Webに 知的処理を
する 	 が に 同年に、 セマンティック・ウェブが
れる 	 が に 同年に、 セマンティック・ウェブが
する 	 に を データに 意味を
行う 	 て に を 付加して、 コンピュータに 知的処理を
せる 	 て に を 付加して、 コンピュータに 知的処理を
する 	 に を 方法を 国際的に
する 	 を オントロジーを
含む 	 に は も 規格には 規格には OWLも
れる 	 に は も 規格には 規格には OWLも
いる 	 に は も 規格には 規格には OWLも
する 	  
分かる 	 から が ことから、 ことが
する 	 が に 前半に 規格化が
いる 	 が に 前半に 規格化が
見合う 	 に 開発工数に
見出せる 	 が メリットが
する 	 から が て て にとって は は も 完了しているが、 完了しているが、 Web開発者にとっては Web開発者にとっては ことから、 現在も 普及は していない。
いる 	 から が て て にとって は は も 完了しているが、 完了しているが、 Web開発者にとっては Web開発者にとっては ことから、 現在も 普及は していない。
する 	 が に において は 日本においては 日本においては 後に ニューロファジィが
進む 	 が 研究が
する 	 に につれて 進むにつれて フレーム問題に
する 	 を 在り方を
せる 	 を 在り方を
至る 	 に AIに
する 	 は ブームは
入る 	 に 1980年代に
基づく 	 に 知識工学に
する 	 が エキスパートシステムが
れる 	 が エキスパートシステムが
なる 	 が エキスパートシステムが
する 	 と を エキスパートシステムを 専門と
立ち上がる 	 て と に に も 入って、 中心に、 提案されるようになり、 AIベンチャーも 次々と
生まれる 	 から 流行から
挙げる 	 が として プロジェクトとして 第五世代コンピュータが
られる 	 が として プロジェクトとして 第五世代コンピュータが
費やす 	 として を 国家プロジェクトとして 570億円を
進める 	 て を 費やして 研究を
する 	  
異なる 	 が で 専門家間で 解釈が
する 	  
行える 	 が ルール化が
ある 	 に は も 場合には 場合には 問題も
至る 	 に は は まで も 1992年まで 日本は 進めるも、 実現には 実現には
する 	  
する 	 で を 命令を 機構で
する 	 て に 解釈して 高速に
見つかる 	 が が で Prolog専用機であるが、 意味で 応用先が
用いる 	 から として にかけて 中頃にかけて、 従来から 手法として
られる 	 から として にかけて 中頃にかけて、 従来から 手法として
くる 	 から として にかけて 中頃にかけて、 従来から 手法として
する 	 を 問題を
する 	 が に 知的制御が 盛んに
れる 	 が に 知的制御が 盛んに
用いる 	 を ルールを
する 	 を 特徴を
する 	 て 学習して
する 	 を 2つを
迎える 	 が に を 手法が 中心に ブームを
合わせる 	 に 高級路線に
増やす 	 て で に も を 合わせて、 白物家電製品でも 白物家電製品でも 種類を 大幅に
する 	 に を 元に 運転を
する 	 が モデルが
れる 	 が モデルが
始める 	 が モデルが
する 	 が に まで を 2018年までに 2018年までに 日本が 特許を
いる 	 が に まで を 2018年までに 2018年までに 日本が 特許を
なる 	 から で と 事から、 日本で ブームと
いる 	 から で と 事から、 日本で ブームと
分かる 	 が て について は ファジィについては、 ファジィについては、 ことが 分かっている。
いる 	 が て について は ファジィについては、 ファジィについては、 ことが 分かっている。
する 	 より 当時より
用いる 	 が で は 白物家電では 白物家電では 制御技術が
られる 	 が で は 白物家電では 白物家電では 制御技術が
いる 	 が で は 白物家電では 白物家電では 制御技術が
なる 	 に ものに
する 	 が て て に は 用いられているが、 用いられているが、 利用者には 利用者には 意識されなくなっている。
れる 	 が て て に は 用いられているが、 用いられているが、 利用者には 利用者には 意識されなくなっている。
なる 	 が て て に は 用いられているが、 用いられているが、 利用者には 利用者には 意識されなくなっている。
いる 	 が て て に は 用いられているが、 用いられているが、 利用者には 利用者には 意識されなくなっている。
なる 	 が に ニューロファジィが ブームに
する 	 に 2010年に
れる 	 に 2010年に
行う 	 に は は は 1990年代には 1990年代には 概念は 産業応用は
れる 	 に は は は 1990年代には 1990年代には 概念は 産業応用は
巻き込む 	 も 一般人も
する 	 が で ニューラルネットワークが 巻き込んで
言える 	 と も 前史とも 前史とも
言える 	 と 社会現象と
持つ 	 から が が 松下電器が 1985年頃から 人間が
活かす 	 に を 曖昧さを 制御に
する 	 を 研究を
漕ぎ着ける 	 に に 1日に 発売に
する 	 で も より 従来よりも 従来よりも センサーで
基づく 	 に データに
する 	 て に を 基づいて、 柔軟に 運転を
する 	 が という に も ファジィ制御という 導入が 高級路線にも 高級路線にも
関わる 	 に も 制御技術であるにも 制御技術であるにも
集める 	 から は を ことから、 ファジィは 注目を
選ぶ 	 が で 金賞で 「ファジィ」が
れる 	 が で 金賞で 「ファジィ」が
する 	 を チューニングを
する 	 を ニューロファジィ制御を
する 	 を 限界を
する 	 て で 突破して 学会で
れる 	 て で 突破して 学会で
する 	 に も 応用にも 応用にも
巻き起こす 	 だけ て に は を その後に、 松下電器は 評価されるだけでなく、 成功して ブームを
受ける 	 を 成功を
用いる 	 て も を 受けて、 他社も 知的制御を
する 	 を 製品を
売る 	 の 白物家電の
用いる 	 が として に は まで 中頃までは、 中頃までは、 売り文句として 名称が 大々的に
られる 	 が として に は まで 中頃までは、 中頃までは、 売り文句として 名称が 大々的に
おる 	 が として に は まで 中頃までは、 中頃までは、 売り文句として 名称が 大々的に
する 	 が て て で で として は は は 用いられており、 製品名では 製品名では 分類としては 分類としては 運転モードでは 運転モードでは 名称が 付与されていた。
れる 	 が て て で で として は は は 用いられており、 製品名では 製品名では 分類としては 分類としては 運転モードでは 運転モードでは 名称が 付与されていた。
いる 	 が て て で で として は は は 用いられており、 製品名では 製品名では 分類としては 分類としては 運転モードでは 運転モードでは 名称が 付与されていた。
する 	 で に を 対象を 数式で 客観的に
持つ 	 が を 対象が 機構を
なる 	 は は 作業は 場合は
ある 	 が 必要が
する 	 と 現代制御等と
する 	  
なる 	 が と 特徴が 利用可能と
抑える 	 を 開発工数を
できる 	 ながら を 抑えながら、 柔軟性を
ある 	 が て は は 手法は、 比較して、 ニューロファジィは 利点が
関わる 	 に も 努力にも 努力にも
する 	 から を 少なさから、 制御を
迎える 	 で を 程度で 限界を
与える 	 が に データが 潤沢に
られる 	 が に データが 潤沢に
ある 	 が として に は も 与えられたとしても、 与えられたとしても、 向上には 向上には 限界が
進む 	 から として は 能力限界から 改善は 遅々として
目立つ 	  
無くなる 	 は 進展は
する 	 を 知的制御を
なる 	 が に に は 末には 末には 白物家電が 大多数に
売る 	  
去る 	 は ブームは
する 	 に は は ブーム後は 一般には 一般には
れる 	 に は は ブーム後は 一般には 一般には
なる 	 に は は ブーム後は 一般には 一般には
なる 	  
使う 	 に のみ も 家電製品のみならず、 社会インフラにも 社会インフラにも
れる 	 に のみ も 家電製品のみならず、 社会インフラにも 社会インフラにも
する 	 が が て で として に は 意識されなくなったが、 現在では 現在では 技術として、 十分に 安定性が 実証されている。
れる 	 が が て で として に は 意識されなくなったが、 現在では 現在では 技術として、 十分に 安定性が 実証されている。
いる 	 が が て で として に は 意識されなくなったが、 現在では 現在では 技術として、 十分に 安定性が 実証されている。
する 	 が 人間が
する 	 として （ファジィルールとして
する 	 を 表現する）を
する 	 に に は 2003年頃には、 2003年頃には、 分野に
する 	 が で を 人工知能が 点で 人間を
担う 	 を 進歩を
する 	 を 世界を
訪れる 	 が に も （シンギュラリティ）が 2045年にも 2045年にも
する 	 と 訪れる」と
する 	 で は を レイ・カーツワイルは 著作で、 説を
する 	 が に により 2006年に、 研究チームにより 深層化手法が
れる 	 が に により 2006年に、 研究チームにより 深層化手法が
入る 	 に 2010年代に
扱う 	 を データを
する 	 が 環境が
れる 	 が 環境が
する 	 が 研究が
始める 	 が 研究が
する 	 が で に 2010年に 英国エコノミスト誌で 用語が
れる 	 が で に 2010年に 英国エコノミスト誌で 用語が
する 	 で に 練習戦で 人間に
なる 	 が と に 同年に ワトソンが、 ニュースと
果たす 	 が で に を 2012年に 画像処理コンテストで チームが 精度改善を
する 	 で 上で
始まる 	 が 第三次AIブームが
する 	 が 研究チームが
挑む 	 で に 「東ロボくん」で 模擬試験に
する 	 と に は 2013年には 2013年には 挑んだと
使う 	 を 専用プログラムを
臨む 	 が に 実際に 受験生が
する 	 を 問題を
できる 	  
先立つ 	 に により 齊藤元章により、 特異点に
近づく 	 が により 進歩により 生産コストが
する 	 に は も 2014年には、 2014年には、 概念も
れる 	 に は も 2014年には、 2014年には、 概念も
向ける 	 に 実現に
続ける 	 が て を ジェフ・ホーキンスが、 向けて 研究を
いる 	 が て を ジェフ・ホーキンスが、 向けて 研究を
考える 	  
考える 	  
する 	 が て て で を 続けているが、 続けているが、 中で 理論を 展開している。
いる 	 が て て で を 続けているが、 続けているが、 中で 理論を 展開している。
向ける 	 に 実用化に
進む 	 が に において 世界各国において、 軍事・民間共に 研究開発が
いる 	 が に において 世界各国において、 軍事・民間共に 研究開発が
する 	 が が で 進んでいるが、 進んでいるが、 開発が
いる 	 が が で 進んでいるが、 進んでいるが、 開発が
留まる 	 に ものに
する 	 に は は は 2010年代には 2010年代には 自動化は （UCAVは
れる 	 に は は は 2010年代には 2010年代には 自動化は （UCAVは
いる 	 に は は は 2010年代には 2010年代には 自動化は （UCAVは
行う 	 から 地上から
いる 	 から 地上から
する 	 が ロドニー・ブルックスが
する 	 が て として は ロボット向けとしては、 ロボット向けとしては、 理論が 登場している。
いる 	 が て として は ロボット向けとしては、 ロボット向けとしては、 理論が 登場している。
思う 	  
あり 	  
する 	 が 知が
用いる 	 のみ を 神経ネットワークのみを 神経ネットワークのみを
する 	 から て 用いて 環境から
用いる 	 て は は を これは ものではなく、 行動型システムを 用いている。
いる 	 て は は を これは ものではなく、 行動型システムを 用いている。
基づく 	 に これに
呼ぶ 	 と ゲンギスと
れる 	 と ゲンギスと
持つ 	 を 「脳」を
関わる 	 に も 持たないにも 持たないにも
生きる 	  
いる 	  
する 	 に は ロボットは、 ように
する 	 が に 10月に 米DeepMind社が
する 	 に プロ囲碁棋士に
呼ぶ 	 と ディープラーニングと
れる 	 と ディープラーニングと
する 	 が が て は 「AlphaGo」が 勝利して以降は 勝利して以降は 手法が
れる 	 が が て は 「AlphaGo」が 勝利して以降は 勝利して以降は 手法が
与える 	 が など に 人工知能が 雇用などに 雇用などに
進める 	 が て について も 影響についても 影響についても 研究が 進められている。
られる 	 が て について も 影響についても 影響についても 研究が 進められている。
いる 	 が て について も 影響についても 影響についても 研究が 進められている。
する 	  
れる 	  
導き出す 	 を 関連性を
導き出す 	 を ものを
する 	 が を DeepMindが、 「ディファレンシャブル・ニューラル・コンピューター」を
する 	 が を データが 「ワンショット学習」を
持つ 	 を 認識能力を
する 	 に は を 8月には、 8月には、 記号接地問題(シンボルグラウンディング問題)を
なる 	 と 計算資源と
付ける 	 で に を 画像処理コンテストで 手法に 圧倒的大差を
する 	 が て に により 高性能化により、 2012年に ディープラーニングが 付けて
集める 	 に を 急速に 注目を
持つ 	 を 現実味を
受け止める 	 て に は 概念は 持って 受け止められるようになった。
られる 	 て に は 概念は 持って 受け止められるようになった。
なる 	 て に は 概念は 持って 受け止められるようになった。
受ける 	 を 普及を
率いる 	  
する 	 を （AGI）を
立つ 	 が て て に において は 受けて、 現場においては、 現場においては、 筆頭に、 プロジェクトが 立ち上げられている。
上げる 	 が て て に において は 受けて、 現場においては、 現場においては、 筆頭に、 プロジェクトが 立ち上げられている。
られる 	 が て て に において は 受けて、 現場においては、 現場においては、 筆頭に、 プロジェクトが 立ち上げられている。
いる 	 が て て に において は 受けて、 現場においては、 現場においては、 筆頭に、 プロジェクトが 立ち上げられている。
する 	 を 脳を
する 	 て リバースエンジニアリングして
れる 	 て リバースエンジニアリングして
組み合わせる 	 を 機械学習を
する 	 て で と は 現場では、 現場では、 有望と されている。
れる 	 て で と は 現場では、 現場では、 有望と されている。
いる 	 て で と は 現場では、 現場では、 有望と されている。
扱う 	 のみ を タスクのみを タスクのみを
進む 	 から ディープラーニングから
扱う 	 を タスクを
する 	 が て として 結果として、 理論が 提唱され始めている。
れる 	 が て として 結果として、 理論が 提唱され始めている。
始める 	 が て として 結果として、 理論が 提唱され始めている。
いる 	 が て として 結果として、 理論が 提唱され始めている。
動かす 	 で を 仮想空間で モデルを
学ぶ 	 に を ことを 高速に
せる 	 に を ことを 高速に
上げる 	 も を ことも 成果を
いる 	 も を ことも 成果を
考える 	 と 不可能と
する 	 を 身体知を
する 	 と 必要だと
見せる 	 を 振る舞いを
挑む 	 に 作成に
ある 	 て に 考えて、 関係に
思う 	 と あると
れる 	 と あると
する 	 に （人工意識）に
いる 	 も 研究者も
入る 	 が で に コストで 計算リソースが 手に
なる 	 が で に コストで 計算リソースが 手に
する 	 が ビッグデータが
寄せる 	 が に を 企業が 活用に 関心を
おる 	 が に を 企業が 活用に 関心を
行う 	 で に を 全世界的に 民間企業主導で 投資を
する 	 が て て て 寄せており、 行って 研究開発競争が 展開されている。
れる 	 が て て て 寄せており、 行って 研究開発競争が 展開されている。
いる 	 が て て て 寄せており、 行って 研究開発競争が 展開されている。
する 	 が として に 嚆矢として、 ITインフラが 急速に
れる 	 が として に 嚆矢として、 ITインフラが 急速に
始める 	 が として に 嚆矢として、 ITインフラが 急速に
関わる 	 に も 高速化にも 高速化にも
できる 	 に を 組み合わせ最適化問題を リアルタイムに
する 	 が て 環境が 整備され始めている。
れる 	 が て 環境が 整備され始めている。
始める 	 が て 環境が 整備され始めている。
いる 	 が て 環境が 整備され始めている。
受ける 	 を 動向を
目立つ 	 から が で で に も 形で、 2016年頃から、 ニュース番組でも ニュース番組でも 報道が 目立つようになった。
なる 	 から が で で に も 形で、 2016年頃から、 ニュース番組でも ニュース番組でも 報道が 目立つようになった。
する 	 に 急速に
続ける 	 に 急速に
